Name,Exclusive secs,Inclusive secs,% Exclusive,% Inclusive,Module,Source File,Source Line
"ILT+2190(?colorCodeYAHW4PieceTypeZ)",0.0209932,0.0209932,0.0262567,0.0262567,"chess_tests","[unknown]",0
"ILT+3310(?getFromDenseMoveQEBAHXZ)",0.0823026,0.0823026,0.102938,0.102938,"chess_tests","[unknown]",0
"ILT+7685(?getWhiteKnightsChessBoardQEBA_KXZ)",0.0283843,0.0283843,0.035501,0.035501,"chess_tests","[unknown]",0
"ILT+7780(?isCastleDenseMoveQEBA_NXZ)",0.0050249,0.0050249,0.00628477,0.00628477,"chess_tests","[unknown]",0
"ILT+7785(?generatePieceMovesMoveGeneratorCAXAEBVChessBoardAEAV?$arrayUDenseMove$0NKstdAEAHW4PieceTypeZ)",0.0089494,0.0089494,0.0111932,0.0111932,"chess_tests","[unknown]",0
"ILT+8070(?perftYA_KAEAVChessBoardHH_NZ)",0.0695234,0.0695234,0.0869547,0.0869547,"chess_tests","[unknown]",0
"ILT+8865(?getBishopAttacksPEXTSA_KH_KZ)",0.0738504,0.0738504,0.0923666,0.0923666,"chess_tests","[unknown]",0
"ILT+10045(?getPromotePieceDenseMoveQEBA?AW4PieceTypeXZ)",0.0838627,0.0838627,0.104889,0.104889,"chess_tests","[unknown]",0
"ILT+10455(?getRookAttacksPEXTSA_KH_KZ)",0.0642943,0.0642943,0.0804145,0.0804145,"chess_tests","[unknown]",0
"ILT+10695(??$_Countr_zero_K$0AstdYAH_KZ)",0.0799014,0.0799014,0.0999347,0.0999347,"chess_tests","[unknown]",0
"ILT+10730(??$countr_zero_KstdYAH_KZ)",0.061825,0.061825,0.0773261,0.0773261,"chess_tests","[unknown]",0
"ILT+11050(??A?$array_K$0EAstdQEAAAEA_K_KZ)",0.06745,0.06745,0.0843615,0.0843615,"chess_tests","[unknown]",0
"ILT+11085(?removePieceChessBoardAEAAXHW4PieceTypeZ)",0.0025554,0.0025554,0.0031961,0.0031961,"chess_tests","[unknown]",0
"ILT+11495(?pieceCodeYAHW4PieceTypeZ)",0.0691994,0.0691994,0.0865495,0.0865495,"chess_tests","[unknown]",0
"ILT+13260(?getColorDenseMoveQEBA?AW4ColorXZ)",0.0206012,0.0206012,0.0257665,0.0257665,"chess_tests","[unknown]",0
"ILT+14150(?getBlackPiecesChessBoardQEBA_KXZ)",0.0140358,0.0140358,0.0175549,0.0175549,"chess_tests","[unknown]",0
"ILT+14350(?getBlackQueensChessBoardQEBA_KXZ)",0.142197,0.142197,0.177849,0.177849,"chess_tests","[unknown]",0
"ILT+17630(__security_check_cookie)",0.0471475,0.0471475,0.0589686,0.0589686,"chess_tests","[unknown]",0
"ILT+17665(??0GameStateQEAAXZ)",0.0721118,0.0721118,0.0901921,0.0901921,"chess_tests","[unknown]",0
"ILT+18585(??A?$arrayV?$vector_KV?$allocator_Kstdstd$0EAstdQEAAAEAV?$vector_KV?$allocator_Kstd",0.0699601,0.0699601,0.0875009,0.0875009,"chess_tests","[unknown]",0
"ILT+19315(?isSideInCheckChessBoardQEAA_NW4ColorZ)",0.0090505,0.0090505,0.0113197,0.0113197,"chess_tests","[unknown]",0
"ILT+21395(?getSideToMoveChessBoardQEBA?AW4ColorXZ)",0.01452,0.01452,0.0181605,0.0181605,"chess_tests","[unknown]",0
"ILT+21420(??A?$arrayUDenseMove$0NKstdQEAAAEAUDenseMove_KZ)",0.0871591,0.0871591,0.109012,0.109012,"chess_tests","[unknown]",0
"ILT+21485(?getBlackRooksChessBoardQEBA_KXZ)",0.0165608,0.0165608,0.020713,0.020713,"chess_tests","[unknown]",0
"ILT+22935(?getEmptySquaresChessBoardQEBA_KXZ)",0.0035001,0.0035001,0.00437767,0.00437767,"chess_tests","[unknown]",0
"ILT+23365(?getWhiteKingsChessBoardQEBA_KXZ)",0.0039709,0.0039709,0.00496651,0.00496651,"chess_tests","[unknown]",0
"ILT+24105(?getBlackBishopsChessBoardQEBA_KXZ)",0.0108299,0.0108299,0.0135452,0.0135452,"chess_tests","[unknown]",0
"ILT+24135(?getWhiteBishopsChessBoardQEBA_KXZ)",0.0089857,0.0089857,0.0112386,0.0112386,"chess_tests","[unknown]",0
"ILT+25165(?getCaptPieceDenseMoveQEBA?AW4PieceTypeXZ)",0.0130431,0.0130431,0.0163133,0.0163133,"chess_tests","[unknown]",0
"ILT+25230(?getBlackKnightsChessBoardQEBA_KXZ)",0.0100311,0.0100311,0.0125462,0.0125462,"chess_tests","[unknown]",0
"ILT+25455(?addPieceChessBoardAEAAXHW4PieceTypeZ)",0.002045,0.002045,0.00255773,0.00255773,"chess_tests","[unknown]",0
"ILT+25620(?generatePsuedoMovesMoveGeneratorSA?AV?$arrayUDenseMove$0NKstdAEBVChessBoardAEAHZ)",0.0080177,0.0080177,0.0100279,0.0100279,"chess_tests","[unknown]",0
"ILT+26290(?getWhitePiecesChessBoardQEBA_KXZ)",0.012502,0.012502,0.0156366,0.0156366,"chess_tests","[unknown]",0
"ILT+27565(?getOppSideChessBoardQEBA?AW4ColorXZ)",0.0351797,0.0351797,0.0440002,0.0440002,"chess_tests","[unknown]",0
"ILT+27910(??$_Countr_zero_tzcnt_KstdYAH_KZ)",0.0426409,0.0426409,0.0533321,0.0533321,"chess_tests","[unknown]",0
"ILT+27995(?getWhiteQueensChessBoardQEBA_KXZ)",0.0769939,0.0769939,0.0962983,0.0962983,"chess_tests","[unknown]",0
"ILT+28060(?generatePawnMovesMoveGeneratorCAXAEBVChessBoardAEAV?$arrayUDenseMove$0NKstdAEAHZ)",0.0030044,0.0030044,0.00375768,0.00375768,"chess_tests","[unknown]",0
"ILT+28220(?getBlackPawnsChessBoardQEBA_KXZ)",0.0079984,0.0079984,0.0100038,0.0100038,"chess_tests","[unknown]",0
"ILT+29140(?getPieceTypeDenseMoveQEBA?AW4PieceTypeXZ)",0.0307068,0.0307068,0.0384058,0.0384058,"chess_tests","[unknown]",0
"ILT+29360(?unmakeMoveChessBoardQEAAXUDenseMove_NZ)",0.0390461,0.0390461,0.048836,0.048836,"chess_tests","[unknown]",0
"ILT+30115(?getWhiteRooksChessBoardQEBA_KXZ)",0.0274484,0.0274484,0.0343304,0.0343304,"chess_tests","[unknown]",0
"ILT+30285(_RTC_CheckStackVars)",0.0155774,0.0155774,0.0194831,0.0194831,"chess_tests","[unknown]",0
"ILT+30920(?getWhitePawnsChessBoardQEBA_KXZ)",0.0551068,0.0551068,0.0689235,0.0689235,"chess_tests","[unknown]",0
"ILT+31565(?getBlackKingsChessBoardQEBA_KXZ)",0.0022643,0.0022643,0.00283202,0.00283202,"chess_tests","[unknown]",0
"ILT+33770(??A?$arrayUGameState$0CAAstdQEAAAEAUGameState_KZ)",0.101618,0.101618,0.127096,0.127096,"chess_tests","[unknown]",0
"ILT+35260(?isEnPassantDenseMoveQEBA_NXZ)",0.0797378,0.0797378,0.0997301,0.0997301,"chess_tests","[unknown]",0
"ILT+35380(??0DenseMoveQEAAW4PieceTypeHHW4DenseType_N21Z)",0.0201523,0.0201523,0.025205,0.025205,"chess_tests","[unknown]",0
"ILT+35725(??$_Checked_x86_x64_countr_zero_KstdYAH_KZ)",0.0847224,0.0847224,0.105964,0.105964,"chess_tests","[unknown]",0
"ILT+35840(?getToDenseMoveQEBAHXZ)",0.0136132,0.0136132,0.0170264,0.0170264,"chess_tests","[unknown]",0
"ILT+36130(?getAllPiecesChessBoardQEBA_KXZ)",0.0490318,0.0490318,0.0613253,0.0613253,"chess_tests","[unknown]",0
"ILT+36380(?generateEnPassantMovesMoveGeneratorCAXAEBVChessBoardAEAV?$arrayUDenseMove$0NKstdAEAHZ)",0.0089346,0.0089346,0.0111747,0.0111747,"chess_tests","[unknown]",0
"ILT+37040(??A?$vector_KV?$allocator_KstdstdQEAAAEA_K_KZ)",0.114626,0.114626,0.143366,0.143366,"chess_tests","[unknown]",0
"ILT+37045(?getCheckCountChessBoardQEBAHXZ)",0.0030044,0.0030044,0.00375768,0.00375768,"chess_tests","[unknown]",0
"ILT+38090(?movePieceChessBoardAEAAXHHW4PieceTypeZ)",0.0054689,0.0054689,0.00684009,0.00684009,"chess_tests","[unknown]",0
"ILT+38815(?is_constant_evaluatedstdYA_NXZ)",0.0387345,0.0387345,0.0484462,0.0484462,"chess_tests","[unknown]",0
"ILT+38855(?makeMoveChessBoardQEAAXUDenseMove_NZ)",0.0306491,0.0306491,0.0383336,0.0383336,"chess_tests","[unknown]",0
"ILT+40285(??A?$array_K$0EAstdQEBAAEB_K_KZ)",0.13741,0.13741,0.171863,0.171863,"chess_tests","[unknown]",0
"ILT+40475(??0DenseMoveQEAAXZ)",0.422155,0.422155,0.528,0.528,"chess_tests","[unknown]",0
"DenseMove::DenseMove",5.75177,5.75177,7.19388,7.19388,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\src\types.hpp",96
"DenseMove::getCaptPiece",1.52914,1.56432,1.91253,1.95654,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\src\types.hpp",137
"DenseMove::getColor",0.920931,0.920931,1.15183,1.15183,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\src\types.hpp",129
"DenseMove::getFrom",0.802597,0.802597,1.00383,1.00383,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\src\types.hpp",131
"DenseMove::getPieceType",1.09005,1.09005,1.36336,1.36336,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\src\types.hpp",127
"DenseMove::getPromotePiece",1.57555,1.57555,1.97058,1.97058,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\src\types.hpp",152
"DenseMove::getTo",0.635365,0.635365,0.794667,0.794667,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\src\types.hpp",133
"DenseMove::isCastle",0.609652,0.609652,0.762508,0.762508,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\src\types.hpp",146
"std::is_constant_evaluated",0.135363,0.135363,0.169302,0.169302,"chess_tests","D:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.41.34120\include\xtr1common",182
"GameState::GameState",0.916384,0.916384,1.14615,1.14615,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\src\types.hpp",229
"std::_Checked_x86_x64_countr_zero<unsigned __int64>",1.07764,1.5585,1.34783,1.94925,"chess_tests","D:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.41.34120\include\__msvc_bit_utils.hpp",300
"std::_Countr_zero<unsigned __int64,0>",0.655086,2.4724,0.819332,3.0923,"chess_tests","D:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.41.34120\include\__msvc_bit_utils.hpp",363
"std::_Countr_zero_tzcnt<unsigned __int64>",0.438219,0.438219,0.548092,0.548092,"chess_tests","D:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.41.34120\include\__msvc_bit_utils.hpp",237
"std::countr_zero<unsigned __int64>",0.503098,3.0554,0.629238,3.82147,"chess_tests","D:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.41.34120\include\bit",216
"std::array<DenseMove,218>::operator[]",1.06508,1.06508,1.33213,1.33213,"chess_tests","D:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.41.34120\include\array",531
"DenseMove::isEnPassant",0.850375,0.850375,1.06359,1.06359,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\src\types.hpp",148
"std::array<std::vector<unsigned __int64,std::allocator<unsigned __int64> >,64>::operator[]",0.810596,0.810596,1.01383,1.01383,"chess_tests","D:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.41.34120\include\array",531
"std::vector<unsigned __int64,std::allocator<unsigned __int64> >::operator[]",2.62037,2.62037,3.27736,3.27736,"chess_tests","D:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.41.34120\include\vector",1885
"UtilityTest_PerftD6CalcInitial_Test::TestBody",0,79.9461,0,99.9906,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\test\utility_tests.cpp",250
"testing::Test::Run",0,79.9461,0,99.9906,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\build\_deps\googletest-src\googletest\src\gtest.cc",2674
"testing::TestInfo::Run",0,79.9461,0,99.9906,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\build\_deps\googletest-src\googletest\src\gtest.cc",2853
"testing::TestSuite::test_to_run_count",0,0.003004,0,0.00375718,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\build\_deps\googletest-src\googletest\src\gtest.cc",2930
"testing::TestSuite::Run",0,79.9491,0,99.9944,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\build\_deps\googletest-src\googletest\src\gtest.cc",3012
"testing::UnitTest::Run",0,79.9491,0,99.9944,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\build\_deps\googletest-src\googletest\src\gtest.cc",5444
"testing::internal::UnitTestImpl::RunAllTests",0,79.9491,0,99.9944,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\build\_deps\googletest-src\googletest\src\gtest.cc",5870
"testing::internal::PrettyUnitTestResultPrinter::OnTestCaseEnd",0,0.003004,0,0.00375718,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\build\_deps\googletest-src\googletest\src\gtest.cc",3510
"testing::internal::TestEventRepeater::OnTestCaseEnd",0,0.003004,0,0.00375718,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\build\_deps\googletest-src\googletest\src\gtest.cc",3859
"testing::internal::CountIf<std::vector<testing::TestInfo *,std::allocator<testing::TestInfo *> >,bool (__cdecl*)(testing::TestInfo const *)>",0.003004,0.003004,0.00375718,0.00375718,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\build\_deps\googletest-src\googletest\src\gtest-internal-inl.h",273
"testing::internal::HandleExceptionsInMethodIfSupported<testing::Test,void>",0,79.9461,0,99.9906,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\build\_deps\googletest-src\googletest\src\gtest.cc",2635
"testing::internal::HandleExceptionsInMethodIfSupported<testing::internal::UnitTestImpl,bool>",0,79.9491,0,99.9944,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\build\_deps\googletest-src\googletest\src\gtest.cc",2635
"testing::internal::HandleSehExceptionsInMethodIfSupported<testing::Test,void>",0,79.9461,0,99.9906,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\build\_deps\googletest-src\googletest\src\gtest.cc",2584
"testing::internal::HandleSehExceptionsInMethodIfSupported<testing::internal::UnitTestImpl,bool>",0,79.9491,0,99.9944,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\build\_deps\googletest-src\googletest\src\gtest.cc",2584
"ChessBoard::getWhitePawns",0.370784,0.370784,0.463749,0.463749,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\src\board_generation.cpp",353
"ChessBoard::getWhiteKnights",0.370588,0.370588,0.463504,0.463504,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\src\board_generation.cpp",357
"ChessBoard::getWhiteBishops",0.321731,0.321731,0.402397,0.402397,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\src\board_generation.cpp",361
"ChessBoard::getWhiteRooks",0.360587,0.360587,0.450996,0.450996,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\src\board_generation.cpp",365
"ChessBoard::getWhiteQueens",0.834576,0.834576,1.04383,1.04383,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\src\board_generation.cpp",369
"ChessBoard::getWhiteKings",0.345553,0.345553,0.432192,0.432192,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\src\board_generation.cpp",373
"ChessBoard::getBlackPawns",0.0627669,0.0627669,0.0785042,0.0785042,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\src\board_generation.cpp",377
"ChessBoard::getBlackKnights",0.0472942,0.0472942,0.0591521,0.0591521,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\src\board_generation.cpp",381
"ChessBoard::getBlackBishops",0.0421547,0.0421547,0.052724,0.052724,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\src\board_generation.cpp",385
"ChessBoard::getBlackRooks",0.0729855,0.0729855,0.0912848,0.0912848,"chess_tests","D:\dev\SoftDevProjects\GitHub\KnightEngine\src\board_generation.cpp",389
